Template,In layout,Enabled,Loc. X,Loc. Y,Loc. Z,X focus,Y focus,Cant vect.,Cant vect.,Cant vect.,Aim pt. X,Aim pt. Y,Aim pt. Z
,,,[m],[m],[m],[m],[m],<i>,<j>,<k>,[m],[m],[m]
0,1,1,-229.72,345.87,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,77.97,528.54,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-37.46,510.69,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,212.18,296.72,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-67.75,552.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,40.71,554.96,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-104.17,211.11,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-252.55,285.49,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,220.33,207.71,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-77.97,528.54,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-40.71,554.96,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,52.08,531.71,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,13.58,556.28,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-159.78,486.49,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-189.39,431.19,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-13.58,556.28,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-195.89,407.24,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-52.08,531.71,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,26.07,533.62,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-231.24,323.38,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-26.07,533.62,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,0,534.25,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-200.97,383.38,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-214.87,132.39,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-220.68,187.77,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-205.34,360.88,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-208.4,338.55,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,159.22,443.22,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,219.17,228.78,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,167.35,419.78,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,174.07,396.32,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-212.18,296.72,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,232.27,302.22,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,179.98,374.17,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,111.59,499.75,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-217.87,150.05,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,186.23,89.08,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,184.58,352.1,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,216.41,250.24,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-159.22,443.22,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-220.33,207.71,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-167.35,419.78,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-111.59,499.75,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,191.23,310.64,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,201.34,189.81,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,118.79,476.94,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,128.29,453.14,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-174.07,396.32,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,140.01,42.92,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,87.07,504.6,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-219.17,228.78,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-179.98,374.17,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,62.34,508.25,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,138.03,430.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-184.58,352.1,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,126.98,25.27,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-87.07,504.6,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-118.79,476.94,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,146.34,407.38,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-128.29,453.14,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-62.34,508.25,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-232.27,302.22,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,189.84,270.95,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-216.41,250.24,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,153.76,385.69,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,164.58,78.72,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-138.03,430.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-191.23,310.64,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,159.87,363.99,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,200.45,209.23,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,96.76,460.91,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
